module,size,sp_hits,sp_p,tm_hits,tm_p,tf_hits,tf_p,drug_hits,drug_p,onco_hits,onco_p,sp_fdr,tm_fdr,tf_fdr,drug_fdr,onco_fdr
0,206,100,0.0013732985185270234,103,0.0871170131557966,10,0.9920199707181195,0,1.0,16,0.9996622380507116,0.00823979111116214,0.2613510394673898,0.9969176381759453,1.0,0.9996622380507117
1,106,42,0.489074705983188,59,0.017759840047429122,3,0.9969176381759453,0,1.0,12,0.8787239357430006,0.7327756695762611,0.10655904028457473,0.9969176381759453,1.0,0.9996622380507117
2,172,66,0.6106463913135509,79,0.48383110590362566,18,0.21272996857801946,0,1.0,34,0.02772641314309108,0.7327756695762611,0.5805973270843507,0.42545993715603886,1.0,0.08317923942927324
3,207,80,0.5828101993248416,96,0.4192886822521431,23,0.1034332243363605,0,1.0,34,0.2378782273779532,0.7327756695762611,0.5805973270843507,0.3102996730090815,1.0,0.4757564547559064
4,212,60,0.9998958682393667,68,0.9999965546435525,30,0.0018423898299550431,0,1.0,49,0.00014548609794018383,0.9998958682393667,0.9999965546435524,0.011054338979730259,1.0,0.0008729165876411029
5,173,75,0.11987956167203696,84,0.2132787288465069,9,0.9767017532535723,0,1.0,13,0.9993271201014267,0.3596386850161109,0.4265574576930138,0.9969176381759453,1.0,0.9996622380507117
